DATENEW,UNITS
2016-03-16,6.582
2016-03-17,12.104000000000003
2016-03-18,8.495999999999999
2016-03-19,9.394
2016-03-20,13.858
2016-03-21,16.4
2016-03-22,5.26
2016-03-23,16.962000000000003
2016-03-24,10.565999999999999
2016-03-25,15.786000000000001
2016-03-26,1.6360000000000001
2016-03-27,5.726
2016-03-29,3.3820000000000006
2016-03-30,9.336
2016-03-31,19.697999999999997
2016-04-01,4.212
2016-04-02,17.44
2016-04-03,10.346
2016-04-04,15.052
2016-04-05,17.504
2016-04-06,18.342
2016-04-07,15.032
2016-04-08,10.844000000000001
2016-04-09,12.530000000000001
2016-04-10,11.989999999999998
2016-04-11,5.476
2016-04-12,9.502
2016-04-13,9.233999999999998
2016-04-14,6.888000000000001
2016-04-15,7.958
2016-04-16,10.06
2016-04-17,8.578
2016-04-18,6.752
2016-04-19,7.54
2016-04-20,6.3420000000000005
2016-04-21,3.936
2016-04-22,9.29
2016-04-23,5.3580000000000005
2016-04-24,3.7640000000000002
2016-04-25,3.584
2016-04-26,9.968000000000002
2016-04-27,5.812
2016-04-28,24.192000000000004
2016-04-29,25.598
2016-04-30,15.866
2016-05-01,16.608
2016-05-02,10.232
2016-05-03,18.904
2016-05-04,26.255999999999993
2016-05-05,14.766000000000002
2016-05-06,12.081999999999999
2016-05-07,22.877999999999997
2016-05-08,12.136000000000003
2016-05-09,8.578
2016-05-10,21.99
2016-05-11,23.424
2016-05-12,22.022
2016-05-13,74.58999999999999
2016-05-14,21.718
2016-05-15,16.72
2016-05-16,8.954
2016-05-17,22.5
2016-05-18,22.540000000000003
2016-05-19,16.844
2016-05-20,23.01
2016-05-21,9.148
2016-05-22,21.852
2016-05-23,9.456000000000001
2016-05-24,9.256
2016-05-25,11.995999999999999
2016-05-26,7.0440000000000005
2016-05-27,15.477999999999998
2016-05-28,13.996
2016-05-29,21.793999999999997
2016-05-30,16.03
2016-05-31,12.976
2016-06-01,18.506
2016-06-02,9.906
2016-06-03,18.064000000000004
2016-06-04,41.086
2016-06-05,13.152
2016-06-06,14.874000000000002
2016-06-07,18.526
2016-06-08,13.306
2016-06-09,17.586
2016-06-10,19.042
2016-06-11,26.814000000000004
2016-06-12,19.278
2016-06-13,10.29
2016-06-14,7.896000000000001
2016-06-15,43.16000000000001
2016-06-16,9.702
2016-06-17,17.616
2016-06-18,19.022
2016-06-19,18.252
2016-06-20,17.758
2016-06-21,15.028
2016-06-22,26.442000000000004
2016-06-23,25.588000000000005
2016-06-24,14.966
2016-06-25,30.201999999999998
2016-06-26,15.177999999999999
2016-06-27,15.681999999999999
2016-06-28,23.668000000000006
2016-06-29,18.377999999999997
2016-06-30,15.18
2016-07-01,22.02
2016-07-02,22.830000000000002
2016-07-03,9.550000000000002
2016-07-04,18.921999999999997
2016-07-05,23.2
2016-07-06,20.519999999999996
2016-07-07,25.62
2016-07-08,18.549999999999997
2016-07-09,9.548
2016-07-10,18.627999999999997
2016-07-11,18.592
2016-07-12,19.77
2016-07-13,8.586
2016-07-14,9.4
2016-07-15,15.74
2016-07-16,11.188
2016-07-17,38.636
2016-07-18,20.58
2016-07-19,29.777999999999995
2016-07-20,12.824000000000002
2016-07-21,21.538
2016-07-22,21.802
2016-07-23,47.262
2016-07-24,28.727999999999998
2016-07-25,35.42399999999999
2016-07-26,37.495999999999995
2016-07-27,33.502
2016-07-28,34.136
2016-07-29,38.076
2016-07-30,30.954000000000004
2016-07-31,17.848
2016-08-01,17.736
2016-08-02,27.428000000000004
2016-08-03,34.651999999999994
2016-08-04,29.851999999999997
2016-08-05,23.114
2016-08-06,22.236
2016-08-07,35.17
2016-08-08,29.433999999999997
2016-08-09,30.626
2016-08-10,23.594
2016-08-11,18.363999999999997
2016-08-12,10.218000000000002
2016-08-13,24.945999999999994
2016-08-14,25.480000000000004
2016-08-15,4.73
2016-08-16,11.504
2016-08-17,27.256000000000004
2016-08-18,17.516
2016-08-19,9.024000000000001
2016-08-20,23.956
2016-08-21,14.29
2016-08-22,19.902
2016-08-23,19.988
2016-08-24,19.008000000000003
2016-08-25,12.723999999999998
2016-08-26,13.197999999999999
2016-08-27,11.348
2016-08-28,14.683999999999997
2016-08-29,17.204
2016-08-30,29.376000000000005
2016-08-31,21.856
2016-09-01,12.616
2016-09-02,6.592
2016-09-03,26.87800000000001
2016-09-04,18.527999999999995
2016-09-05,10.906
2016-09-06,15.406
2016-09-07,13.352000000000002
2016-09-08,13.014000000000001
2016-09-09,7.703999999999999
2016-09-10,10.384
2016-09-11,10.896
2016-09-12,11.243999999999998
2016-09-13,10.812000000000001
2016-09-14,8.033999999999999
2016-09-15,9.986
2016-09-16,8.472
2016-09-17,23.508000000000003
2016-09-18,23.06
2016-09-19,9.27
2016-09-20,13.371999999999998
2016-09-21,9.924000000000001
2016-09-22,16.708000000000002
2016-09-23,15.195999999999998
2016-09-24,12.331999999999999
2016-09-25,14.366000000000001
2016-09-26,8.856
2016-09-27,18.566000000000003
2016-09-28,9.024000000000001
2016-09-29,6.325999999999999
2016-09-30,2.08
2016-10-01,9.272
2016-10-02,2.0940000000000003
2016-10-03,4.042
2016-10-04,3.92
2016-10-05,3.3120000000000003
2016-10-06,13.836000000000002
2016-10-07,3.244
2016-10-08,13.812000000000001
2016-10-09,9.638000000000002
2016-10-10,4.5520000000000005
2016-10-11,11.959999999999999
2016-10-12,14.552000000000001
2016-10-13,14.194
2016-10-14,9.654
2016-10-15,6.606
2016-10-16,15.74
2016-10-17,6.598000000000001
2016-10-18,8.034
2016-10-19,8.832
2016-10-20,17.83
2016-10-21,11.788
2016-10-22,7.288
2016-10-23,2.788
2016-10-24,16.939999999999998
2016-10-25,7.922
2016-10-26,5.786
2016-10-27,4.584
2016-10-28,7.774
2016-10-29,14.078
2016-10-30,7.1259999999999994
2016-10-31,9.452
2016-11-01,20.253999999999994
2016-11-02,10.56
2016-11-03,5.894
2016-11-04,8.298
2016-11-05,20.394
2016-11-06,11.702
2016-11-07,6.231999999999999
2016-11-08,17.164
2016-11-09,12.432
2016-11-10,5.890000000000001
2016-11-11,11.76
2016-11-12,15.010000000000002
2016-11-13,26.977999999999994
2016-11-14,21.366
2016-11-15,22.924000000000003
2016-11-16,16.044000000000004
2016-11-17,32.002
2016-11-18,10.884
2016-11-19,14.741999999999997
2016-11-20,25.740000000000002
2016-11-21,22.726
2016-11-22,25.995
2016-11-23,10.272
2016-11-24,23.596
2016-11-25,1.82
2016-11-26,25.163999999999998
2016-11-27,9.754
2016-11-28,17.994
2016-11-29,3.734
2016-11-30,8.598
2016-12-01,13.402000000000003
2016-12-02,13.21
2016-12-03,8.258000000000001
2016-12-04,9.994
2016-12-05,5.276
2016-12-06,3.3440000000000003
2016-12-07,5.636
2016-12-08,2.476
2016-12-09,12.712
2016-12-10,7.811999999999999
2016-12-11,9.03
2016-12-12,8.27
2016-12-13,6.162
2016-12-14,4.529999999999999
2016-12-15,8.784
2016-12-16,7.84
2016-12-17,13.624
2016-12-18,5.394
2016-12-19,11.228
2016-12-20,15.526
2016-12-21,7.088000000000001
2016-12-22,15.594
2016-12-23,24.025000000000002
2016-12-24,20.83
2016-12-25,6.597999999999999
2016-12-27,5.3020000000000005
2016-12-28,2.018
2016-12-29,1.852
2016-12-30,10.202
2016-12-31,8.942
2017-01-01,29.317
2017-01-03,10.508000000000001
2017-01-04,5.710000000000001
2017-01-05,16.4
2017-01-06,11.024
2017-01-07,10.368
2017-01-08,0.542
2017-01-09,9.484
2017-01-10,9.264
2017-01-11,11.517999999999999
2017-01-12,12.930000000000003
2017-01-13,20.266
2017-01-14,6.882
2017-01-15,13.858
2017-01-16,2.648
2017-01-17,5.126
2017-01-18,8.352
2017-01-19,10.573999999999998
2017-01-20,16.206
2017-01-21,14.877999999999998
2017-01-22,12.698
2017-01-23,6.328
2017-01-24,15.82
2017-01-25,10.137999999999998
2017-01-26,8.238000000000001
2017-01-27,0.86
2017-01-28,8.764
2017-01-29,9.574000000000002
2017-01-30,11.548000000000002
2017-01-31,22.766000000000002
2017-02-01,6.9399999999999995
2017-02-02,8.822000000000001
2017-02-03,17.976
2017-02-04,11.239999999999998
2017-02-05,11.258000000000001
2017-02-06,5.23
2017-02-07,12.232000000000001
2017-02-08,32.5
2017-02-09,16.503999999999998
2017-02-10,16.396
2017-02-11,25.354000000000003
2017-02-12,24.220000000000002
2017-02-13,23.587999999999997
2017-02-14,35.476
2017-02-15,19.663999999999994
2017-02-16,8.911999999999999
2017-02-17,14.25
2017-02-18,11.182000000000002
2017-02-19,21.328000000000003
2017-02-20,12.896
2017-02-21,19.182000000000002
2017-02-22,12.330000000000002
2017-02-23,10.786
2017-02-24,10.394
2017-02-25,24.808000000000003
2017-02-26,14.994
2017-02-27,6.156000000000001
2017-02-28,13.429999999999998
2017-03-01,5.728000000000001
2017-03-02,9.016
2017-03-03,14.720000000000002
2017-03-04,8.376
2017-03-05,14.466
2017-03-06,23.462
2017-03-07,9.82
2017-03-08,32.632000000000005
2017-03-09,13.626000000000001
2017-03-10,11.940000000000001
2017-03-11,10.278
2017-03-12,23.806
2017-03-13,9.756
2017-03-14,12.531999999999998
2017-03-15,13.522000000000002
2017-03-16,15.712000000000002
2017-03-17,15.74
2017-03-18,10.081999999999999
2017-03-19,8.26
2017-03-20,7.126
2017-03-21,13.728
2017-03-22,17.552
2017-03-23,14.854
2017-03-24,22.646
2017-03-25,16.502000000000002
2017-03-26,14.878
2017-03-27,16.221999999999998
2017-03-28,13.774000000000001
2017-03-29,24.671999999999997
2017-03-30,20.548000000000005
2017-03-31,16.428
2017-04-01,28.404000000000003
2017-04-02,35.654
2017-04-03,24.952
2017-04-04,24.218000000000004
2017-04-05,22.490000000000006
2017-04-06,22.105999999999998
2017-04-07,13.994
2017-04-08,11.614
2017-04-09,10.524000000000001
2017-04-10,21.445999999999998
2017-04-11,23.152000000000005
